Part Number,Density,Part Status,NAND Type,Op. Temp.,Voltage,Package,Pin Count,MT/s,Width
MT29F1T08EEHAFJ4-3R,1Tb,Production,3D,0C to +70C,3.3V,VBGA,132-ball,667 MT/s,x8
MT29F1T08EEHAFJ4-3T,1Tb,Production,3D,0C to +70C,3.3V,VBGA,132-ball,667 MT/s,x8
MT29F1T08EEHBFJ4-R,1Tb,Production,3D,0C to +70C,3.3V,VBGA,132-ball,800 MT/s,x8
MT29F1T08EEHBFJ4-T,1Tb,Production,3D,0C to +70C,3.3V,VBGA,132-ball,800 MT/s,x8
MT29F1T08EELCEJ4-R,1Tb,Production,3D,0C to +70C,2.5V,VBGA,132-ball,1200 MT/s,x8
MT29F1T08EMHAFJ4-3R,1Tb,Production,3D,0C to +70C,3.3V,VBGA,132-ball,667 MT/s,x8
MT29F256G08EBCAGB16A3WC1,256Gb,Production,3D,0C to +70C,3.3V,Wafer,(Empty),(Empty),x8
MT29F256G08EBHAFJ4-3R,256Gb,Production,3D,0C to +70C,3.3V,VBGA,132-ball,667 MT/s,x8
MT29F2T08EMHAFJ4-3R,2Tb,Production,3D,0C to +70C,3.3V,VBGA,132-ball,667 MT/s,x8
MT29F2T08EMHAFJ4-3T,2Tb,Production,3D,0C to +70C,3.3V,VBGA,132-ball,667 MT/s,x8
MT29F2T08EMHBFJ4-R,2Tb,Production,3D,0C to +70C,3.3V,VBGA,132-ball,800 MT/s,x8
MT29F2T08EMHBFJ4-T,2Tb,Production,3D,0C to +70C,3.3V,VBGA,132-ball,800 MT/s,x8
MT29F2T08EMLCEJ4-R,2Tb,Production,3D,0C to +70C,2.5V,VBGA,132-ball,1200 MT/s,x8
MT29F4T08EUHAFM4-3R,4Tb,Production,3D,0C to +70C,3.3V,LBGA,132-ball,667 MT/s,x8
MT29F4T08EUHAFM4-3T,4Tb,Production,3D,0C to +70C,3.3V,LBGA,132-ball,667 MT/s,x8
MT29F4T08EUHBFM4-R,4Tb,Production,3D,0C to +70C,3.3V,LBGA,132-ball,800 MT/s,x8
MT29F4T08EUHBFM4-T,4Tb,Production,3D,0C to +70C,3.3V,LBGA,132-ball,800 MT/s,x8
MT29F4T08EULCEM4-R,4Tb,Production,3D,0C to +70C,2.5V,LBGA,132-ball,1200 MT/s,x8
MT29F512G08EBHAFB17A3WC1,512Gb,Production,3D,0C to +70C,3.3V,Wafer,(Empty),(Empty),x8
MT29F512G08EBHAFJ4-3R,512Gb,Production,3D,0C to +70C,3.3V,VBGA,132-ball,667 MT/s,x8
MT29F512G08EBHBFB27A3WC1-R,512Gb,Production,3D,0C to +70C,3.3V,Wafer,(Empty),(Empty),x8
MT29F512G08EBHBFJ4-R,512Gb,Production,3D,0C to +70C,3.3V,VBGA,132-ball,800 MT/s,x8
MT29F512G08EBHBFJ4-T,512Gb,Production,3D,0C to +70C,3.3V,VBGA,132-ball,800 MT/s,x8
MT29F512G08EBLCEB27B3WC1-R,512Gb,Production,3D,0C to +70C,2.5V,Wafer,(Empty),(Empty),x8
MT29F512G08EBLCEJ4-R,512Gb,Production,3D,0C to +70C,2.5V,VBGA,132-ball,1200 MT/s,x8
MT29F512G08EEHAFJ4-3R,512Gb,Production,3D,0C to +70C,3.3V,VBGA,132-ball,667 MT/s,x8
MT29F8T08EWHAFJ6-3R,8Tb,Production,3D,0C to +70C,3.3V,LBGA,132-ball,667 MT/s,x8
MT29F8T08EWHAFJ6-3T,8Tb,Production,3D,0C to +70C,3.3V,LBGA,132-ball,667 MT/s,x8
