Part No.,Storage Density,Storage Version,DRAM Density,DRAM Mode,Package,Speed,Product Status
H9TQ64A8GTDCUR-KUM,8GB,eMMC5.1,1GB,LPDDR3,221FBGA,1866Mbps,Mass Production
H9TQ17ABJTCCUR-KUM,16GB,eMMC5.1,2GB,LPDDR3,221FBGA,1866Mbps,Mass Production
H9HP27ACPMMDAR-KMM,32GB,eMMC5.1,4GB,LPDDR4X,254FBGA,3733Mbps,Mass Production
H9TQ27ACLTACUR-KUM,32GB,eMMC5.1,4GB,LPDDR3,221FBGA,1866Mbps,Mass Production
H9TQ27ADFTMCUR-KUM,32GB,eMMC5.1,3GB,LPDDR3,221FBGA,1866Mbps,Mass Production
H9HP52ACPMADAR-KMM,64GB,eMMC5.1,4GB,LPDDR4X,254FBGA,3733Mbps,Mass Production
H9HP52AECMMDAR-KMM,64GB,eMMC5.1,6GB,LPDDR4X,254FBGA,3733Mbps,Mass Production
H9HQ53ACPMMDAR-KEM,64GB,UFS2.1,4GB,LPDDR4X,254FBGA,4266Mbps,Mass Production
H9HQ53AECMMDAR-KEM,64GB,UFS2.1,6GB,LPDDR4X,254FBGA,4266Mbps,Mass Production
H9TQ52ACLTMCUR-KUM,64GB,eMMC5.1,4GB,LPDDR3,221FBGA,1866Mbps,Mass Production
H9HP16ACPMMDAR-KMM,128GB,eMMC5.1,4GB,LPDDR4X,254FBGA,3733Mbps,Mass Production
H9HP16AECMMDAR-KMM,128GB,eMMC5.1,6GB,LPDDR4X,254FBGA,3733Mbps,Mass Production
H9HQ16ACPMMDAR-KEM,128GB,UFS2.1,4GB,LPDDR4X,254FBGA,4266Mbps,Mass Production
H9HQ16AECMMDAR-KEM,128GB,UFS2.1,6GB,LPDDR4X,254FBGA,4266Mbps,Mass Production
