Part No.,Den.,Org.,Vol,Speed,Power,PKG,Product Status
H9HCNNN4KMMLHR,4Gb,x16,1.8V-1.1V-0.6V,L / M,Low Power,200,Mass production
H9HCNNN4KUMLHR,4Gb,x16,1.8V-1.1V-1.1V,L / M,Low Power,200,Mass production
H9HCNNN8KUMLHR,8Gb,x16,1.8V-1.1V-1.1V,L / M,Low Power,200,Mass production
H9HCNNNBKMMLHR,16Gb,x16,1.8V-1.1V-0.6V,M / E,Low Power,200,Mass production
H9HCNNNBKUMLHR,16Gb,x16,1.8V-1.1V-1.1V,M / E,Low Power,200,Mass production
H9HCNNNBPUMLHR,16Gb,x16,1.8V-1.1V-1.1V,L / M,Low Power,200,Mass production
H9HCNNNBUUMLHR,16Gb,x16,1.8V-1.1V-1.1V,L,Low Power,200,Mass production
H9HKNNNDGUMUAR,24Gb,x16,1.8V-1.1V-1.1V,L,Low Power,272,Mass production
H9HKNNNDGUMUBR,24Gb,x16,1.8V-1.1V-1.1V,L / M,Low Power,366,Mass production
H9HCNNNCPMMLHR,32Gb,x16,1.8V-1.1V-0.6V,M / E,Low Power,200,Mass production
H9HCNNNCPUMLHR,32Gb,x16,1.8V-1.1V-1.1V,M / E,Low Power,200,Mass production
H9HKNNNCTUMUAR,32Gb,x16,1.8V-1.1V-1.1V,L,Low Power,272,Mass production
H9HKNNNCTUMUBR,32Gb,x16,1.8V-1.1V-1.1V,L / M,Low Power,366,Mass production
